Training_accuracy,epoch,step,Validation_accuracy
0.03125,0,49,
0.03125,0,99,
0.09375,0,149,
0.0,0,199,
0.0,0,249,
0.09375,0,299,
0.0625,0,349,
0.125,0,399,
0.09375,0,449,
0.0625,0,499,
0.0,0,549,
0.0625,0,599,
0.09375,0,649,
0.0625,0,699,
0.03125,0,749,
0.0625,0,799,
0.125,0,849,
0.03125,0,899,
0.0625,0,949,
0.09375,0,999,
0.1875,0,1049,
0.03125,0,1099,
0.0625,0,1149,
0.03125,0,1199,
0.03125,0,1249,
0.125,0,1299,
0.28125,0,1349,
0.125,0,1399,
0.15625,0,1449,
0.125,0,1499,
,0,1529,0.20122548937797546
0.125,1,1549,
0.09375,1,1599,
0.15625,1,1649,
0.25,1,1699,
0.125,1,1749,
0.28125,1,1799,
0.46875,1,1849,
0.25,1,1899,
0.28125,1,1949,
0.25,1,1999,
0.3125,1,2049,
0.28125,1,2099,
0.125,1,2149,
0.3125,1,2199,
0.375,1,2249,
0.28125,1,2299,
0.5625,1,2349,
0.3125,1,2399,
0.375,1,2449,
0.15625,1,2499,
0.375,1,2549,
0.4375,1,2599,
0.46875,1,2649,
0.21875,1,2699,
0.3125,1,2749,
0.34375,1,2799,
0.25,1,2849,
0.46875,1,2899,
0.3125,1,2949,
0.34375,1,2999,
0.46875,1,3049,
,1,3059,0.4436274468898773
0.4375,2,3099,
0.53125,2,3149,
0.40625,2,3199,
0.5,2,3249,
0.34375,2,3299,
0.4375,2,3349,
0.40625,2,3399,
